Cipher Algorithm,Encrypted Text,Cipher Type
Baconian Cipher,ABAAAAAAAABAABBAAAAABAABABABAAAABAAABBAABAABABABBAAABABABAAABAABBAABAAAABBBAAAAABAAABAABAAABBAABAABAAABAABAAAAAABAAAAABBABAAABAABABAAABBAAAAAAAAAABABBABBBAAAABBABBABBABAAABBAAABBBAAABBBAAAAABAAABAABAAABAAAABBAABAABABAAAAABBABAAABBBAABBAAABAABAAAABBAAAABBAAABAAABBAAAABBBAAAAAABBAAAAABAAABAAAAABBABBBAAABAABAAAAAABABABBABBAAAAABABBAAAAAABBAAAAABAAABAAAAAAAABBAAAAABBBAAAAAABAAAABABABAAAABBAAAABAAAAABBABBBAAAAAABAABABAABAAABAABAAAAABBAAABABBAAAAABAABAAAABAAABBBABAAAABBAAAABBAAABABABBABBAAAABAAABBABAAABAAABAABAAAABAAABBBBAAABBAABAAAAAABAABAAABAAABABBAABAAABBAABAABABAAABBAABAABBABBAAABBAABABAAAAAABAAAAAAAABABBABABAABAAAABBAAAABAAAABAAABBAABAABAAABAABAAAAABBBABAAAAABAAABAAABAABAAABABAAABAABAABBAABAAABABAAAAABAAAAAAAABAABAABAABAAABBAAAAABBAAABBAABAABAABBAABAAABABAABBABABBBAABABBAABAAABBAABAABA,STENOGRAPHIC
Porta Cipher,LEFZMBCQBVYBJXBCOYWMSWLUJKBKXGUTGRIUEHZCEUKEQAEMJVUPGBKXGUEUKEBVURGOCUNQPSAEXBXZUEYZJAQAJDKUQZXQENDAASRFXCRSKKSKPFRUOVSBMMOVJCZGUEXHYFECMDSSUCRLJUZBWFVWTZGUTMHCUUJYQPD,POLYALPHABETIC_SUBSTITUTION
Autokey Cipher,LBRDMBULMGLSYJWEWABSHPMSIAMWLEBEXNGZQJXWOKIQMOOGGCFHWAJXTEUBKMWSBIDTGZPHRURRETRIBGPRJHIOFRFFVXIGUPFDGTNUVLSIIUPPGPQQTLMGZBCAJOEHBRDQNGKWYATRPKQWVXAJK,POLYALPHABETIC_SUBSTITUTION
RailFence Cipher,OWANGIEECRELODIGNSMGVALMEUANORMRTIYYRIRIASRCANTAUHKSLATCHIHILDGRPSANTETAHWNGTSEETOFNTAEFENISTIYDACEPOELBMATDTEAHSRNNRPRAEYSSOUERIGTANUMUJVGCCNCOCUNNADOSAAALTIN,TRANSPOSITION
AMSCO Cipher,REGHNCEDRHACRNARPYSUATRCDIFOINNSDWAAIAUEHIITLWENRIUAORROTHASOVORLEIBIKHRGIYPPEASTRNCHAMAKTNPPICEADINNGESORTIENNTCRLLNGMEREJHYHDFELLCNTSEMORBUOREMAREENEEEAOR,TRANSPOSITION
Affine Cipher,TURFHAONMHUDUAMUPAMRWPQMJSGONERJARMUBUNRQXUHKUNRSZTABAPUBUDSXUHMJABUONRUEHARUPAOXAOHXHSEHAIIUHMONRSRJUOHGSHYZDSGMOENOZOKANRDQHUPWKONEFSODUHXDARUKSPUONMXHONEFSSR,MONOALPHABETIC_SUBSTITUTION
Bifid Cipher,4431243554443115134315114452124224111545132312441415134324224542242313245211451323141325441514343542155124443124351222321225141325242215435443442434121434141325441543153351243315132543441213231413252324352413232413225442244315334544141513144343452443521444311245131411142423441515334324441115421233334543244243,FRACTIONATING TRANSPOSITION
Atbash Cipher,QZEZKILQVXGKZMZNZSZHURMZOOBIVZXSVWZHGZYOVIVOVZHVZOOLDRMTWVEVOLKVIHGLVZHROBXZOOMZGREVORYIZIRVHDRGSLFGGSVXLNKOVCRGBLUQMRLKVMRMTMVDWLLIHULISRTSKVIULINZMXVZKKH,MONOALPHABETIC_SUBSTITUTION
Beaufort Cipher,NKOAOCHNOYWMWHSTLNMCLYEVNZMYJTRLYGYMEUAUGWLRXLRURMAWLYQDYTRPXRHAECBBHJHEXZRJABMHRZUUHQLWSURWUDEMQIWKAQNERPPWWSOLWPPCVCSPRJAMMYJTBPLJLYFPLFCJHECCBFLNYPYBCPBREBJMIL,POLYALPHABETIC_SUBSTITUTION
Caesar Cipher,ZHHZEXATLHYYBVBTEERLABYMXWBMLTGWKHBWBGMXKGTEWXOXEHIFXGMZNBWXEBGXLMHYTOHKDHMEBGHOXKCTOTMAHNZAEXZTVRLNIIHKMYHKCWDKXFTBGLTVHKXIKBHKBMRYHKMAXFHUBEXXVHLRLMXF,MONOALPHABETIC_SUBSTITUTION
Polybius Cipher,442315422443153421521512114343153212315424431131313452243322355444233433443442453311443315114233114424511543351515144324334423151242345243154235344415334424113131541323113131153322243322242424242411511143134224354421344214343224331133131524332142343344153314141144115124434511312455114424343344343431434434141154,FRACTIONATING
Playfair Cipher,QCSYBSBTFEHKFNATFQWHDFACYFKGXTQLTBQFAPCQIPUCOAYTPFRSDPXCESIUKMBOKTVSLTFUOYFRZHQFGPDHUCESIFTOFYOWDPKGTOBKKMMKOCESPCACAQOCNYFQKFOVCHKAPGEFRIAXKGPSTHPSKCGRBPQF,POLYGRAPHIC_SUBSTITUTION
